,club_id,club_name,squad_size,average_age,foreigners_percentage,national_team_players,stadium_name,stadium_seats,domestic_competition
34,200,FC Utrecht,30,25.8,43.3,4,"Stadion ""Galgenwaard""",23750,eredivisie
375,202,FC Groningen,29,23.0,48.3,5,Euroborg,22555,eredivisie
219,204,Lierse SK (- 2018),0,,,0,Herman Vanderpoortenstadion,14538,jupiler-pro-league
242,206,Bröndby IF,26,25.0,42.3,6,Brøndby Stadion,28000,superligaen
243,232,Spartak Moscow,26,25.1,30.8,10,Otkrytie Bank Arena,44571,premier-liga
139,234,Feyenoord Rotterdam,27,23.6,59.3,14,"Stadion Feyenoord ""De Kuip""",47500,eredivisie
105,235,RKC Waalwijk,28,26.1,57.1,5,Mandemakers Stadion,7508,eredivisie
269,237,RCD Mallorca,25,27.7,52.0,9,Mallorca Son Moix,20500,laliga
271,244,Olympique Marseille,22,26.8,72.7,14,Orange Vélodrome,67394,ligue-1
164,252,Genoa CFC,31,26.4,64.5,5,Luigi Ferraris,34901,serie-a
296,265,Panathinaikos Athens,30,27.1,70.0,10,Apostolos Nikolaidis,15000,super-league-1
109,273,Stade Rennais FC,28,24.6,50.0,11,Roazhon Park,29778,ligue-1
244,276,Hellas Verona,29,26.5,62.1,6,Marcantonio Bentegodi,39211,serie-a
245,281,Manchester City,25,27.0,68.0,18,Etihad Stadium,55017,premier-league
110,289,Sunderland AFC,26,23.5,46.2,6,Stadium of Light,48707,premier-league
330,290,AJ Auxerre,33,25.8,63.6,9,Stade de l'Abbé-Deschamps,18541,ligue-1
346,294,SL Benfica,25,24.9,60.0,8,Estádio da Luz,64642,liga-portugal-bwin
303,306,SC Heerenveen,26,24.7,46.2,2,Abe Lenstra Stadion,27224,eredivisie
